f1,accuracy,precision,recall,time,first_optimizer_result,second_optimizer_result
0.7074235807860262,0.732,0.7714285714285715,0.6532258064516129,0.004225015640258789,"0, 2, 4, 6, 7, 9, 12, 13, 19, 21, 23, 24, 30, 33, 35, 36, 37, 41, 46, 47, 53, 55, 56, 58, 60, 65, 67, 71, 74, 75","2, 3, 4, 6, 8, 15, 17, 18, 20, 23, 26"
0.7074829931972788,0.656,0.6624203821656051,0.7591240875912408,0.003987312316894531,"0, 2, 4, 8, 9, 10, 13, 16, 17, 19, 31, 32, 35, 37, 39, 40, 43, 44, 46, 52, 53, 55, 56, 57, 61, 64, 65, 66, 67, 69, 71, 74, 76","0, 1, 2, 3, 4, 10, 11, 13, 15, 17, 22, 23, 25, 26, 27, 28, 30, 32"
0.6962962962962964,0.672,0.6527777777777778,0.746031746031746,0.0042018890380859375,"0, 3, 4, 5, 8, 9, 11, 12, 14, 17, 21, 22, 23, 27, 29, 30, 33, 34, 35, 37, 39, 40, 42, 43, 44, 46, 47, 49, 50, 53, 55, 56, 58, 59, 60, 62, 65, 66, 72, 73, 75, 76","0, 1, 2, 4, 6, 8, 10, 14, 15, 20, 21, 27, 29, 31, 36, 40"
0.7294117647058823,0.724,0.6838235294117647,0.7815126050420168,0.0045969486236572266,"2, 3, 4, 5, 7, 9, 12, 13, 14, 25, 26, 27, 29, 30, 31, 32, 33, 35, 36, 37, 39, 41, 42, 44, 45, 46, 47, 50, 51, 52, 53, 56, 59, 60, 61, 65, 68, 69, 70, 71, 72, 74, 75","0, 1, 4, 5, 7, 9, 10, 13, 14, 16, 17, 18, 20, 22, 24, 25, 26, 27, 28, 32, 40"
0.7644787644787645,0.756,0.75,0.7795275590551181,0.0039827823638916016,"0, 5, 6, 8, 9, 11, 13, 15, 17, 21, 23, 29, 31, 33, 37, 39, 40, 44, 46, 49, 51, 52, 58, 59, 60, 62, 63, 64, 65, 66, 67, 71, 73, 75","1, 3, 5, 6, 7, 9, 10, 11, 17, 21, 23, 24, 26, 27, 28, 29, 32"
0.6610878661087866,0.676,0.7053571428571429,0.6220472440944882,0.0042269229888916016,"0, 2, 4, 6, 9, 10, 12, 16, 17, 18, 19, 21, 22, 23, 24, 27, 29, 35, 38, 40, 41, 42, 54, 55, 56, 62, 66, 67, 68, 69, 75","1, 3, 4, 6, 8, 9, 12, 13, 15, 17, 18, 21, 23, 25, 28, 29, 30"
0.6545454545454545,0.696,0.7422680412371134,0.5853658536585366,0.002932310104370117,"3, 5, 6, 7, 9, 16, 17, 18, 21, 23, 29, 36, 39, 40, 44, 46, 47, 48, 53, 56, 57, 59, 61, 62, 64, 65, 70, 75","8, 10, 11, 13, 16, 18, 19, 22, 23, 27"
0.6967213114754097,0.704,0.6640625,0.7327586206896551,0.004142045974731445,"0, 3, 4, 6, 8, 14, 19, 28, 29, 32, 34, 35, 37, 38, 39, 40, 41, 43, 44, 51, 54, 59, 60, 62, 64, 65, 67, 68, 70, 74","1, 3, 7, 9, 10, 13, 14, 16, 19, 21, 22, 25, 27, 28"
0.65993265993266,0.596,0.5697674418604651,0.784,0.0042972564697265625,"5, 7, 12, 13, 14, 19, 23, 30, 35, 39, 40, 43, 46, 47, 48, 49, 51, 53, 54, 55, 56, 59, 60, 62, 63, 65, 66, 70, 71, 72, 75","7, 8, 10, 12, 13, 14, 15, 17, 18, 20, 21, 23, 25, 26, 27, 28, 30"
0.7063492063492063,0.704,0.7606837606837606,0.6592592592592592,0.006258964538574219,"0, 2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 26, 29, 30, 31, 34, 36, 39, 40, 42, 44, 45, 48, 49, 51, 52, 53, 54, 56, 58, 60, 61, 65, 68, 69, 70, 71, 73, 74, 75","1, 4, 7, 10, 12, 13, 15, 16, 17, 18, 19, 20, 22, 24, 25, 27, 28, 29, 30, 33, 34, 35, 37, 40, 43, 44, 45"
0.7068273092369478,0.708,0.6929133858267716,0.7213114754098361,0.0053980350494384766,"0, 2, 4, 6, 8, 10, 12, 22, 23, 26, 29, 30, 33, 36, 40, 41, 42, 43, 44, 45, 48, 49, 50, 53, 55, 56, 57, 58, 62, 64, 65, 67, 68, 69, 71, 72, 73, 75","0, 1, 2, 5, 6, 10, 16, 17, 20, 21, 22, 26, 27, 29, 30, 32, 33, 36, 37"
0.6542056074766355,0.704,0.7526881720430108,0.5785123966942148,0.003983974456787109,"0, 2, 4, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 21, 22, 23, 24, 27, 30, 34, 35, 36, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 51, 53, 58, 59, 60, 62, 63, 65, 66, 67, 68, 69, 70, 72","0, 2, 8, 9, 10, 11, 12, 14, 16, 17, 18, 22, 23, 25, 27, 30, 31, 32, 35, 40, 43, 45"
