f1,accuracy,precision,recall,time,first_optimizer_result,second_optimizer_result

0.9085872576177285,0.868,0.9265536723163842,0.8913043478260869,0.004580020904541016,"0, 2, 7, 8, 11, 12, 14, 16, 17, 19, 20, 22, 24, 25, 26, 27, 28, 30, 31, 33, 34, 36, 37, 39, 40, 41, 42, 46, 47, 48, 49, 50, 52, 53, 54, 55, 61, 64, 65, 66, 69, 70, 71, 72, 73, 76","1, 4, 15, 18, 19, 21, 22, 23, 26, 28, 32, 33, 36, 37, 38, 40, 41, 42"
0.894736842105263,0.84,0.9139784946236559,0.8762886597938144,0.0025107860565185547,"0, 1, 2, 3, 6, 7, 12, 13, 17, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 46, 48, 50, 52, 54, 55, 56, 58, 61, 62, 63, 65, 69, 70, 73, 76","4, 5, 6, 11, 12, 13, 14, 17, 18, 20, 21, 23, 24, 28, 29, 30, 32, 33, 35, 36, 37"
0.9014084507042254,0.86,0.935672514619883,0.8695652173913043,0.0027167797088623047,"2, 5, 6, 7, 8, 10, 13, 14, 17, 23, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 39, 40, 43, 45, 46, 50, 53, 54, 55, 57, 58, 60, 62, 63, 65, 66, 69, 70, 72, 73, 76","0, 4, 7, 13, 15, 16, 18, 19, 22, 24, 25, 27, 30, 34"
0.9170984455958548,0.872,0.9267015706806283,0.9076923076923077,0.0024950504302978516,"2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 19, 20, 23, 24, 25, 28, 33, 34, 39, 42, 45, 47, 50, 52, 53, 55, 56, 57, 59, 60, 63, 64, 65, 68, 69, 71, 72, 73, 74, 76","1, 7, 8, 10, 17, 18, 22, 24, 25, 26, 28, 33, 34, 36, 37, 38, 39, 40"
0.9056603773584905,0.86,0.9081081081081082,0.9032258064516129,0.0029439926147460938,"0, 2, 4, 5, 7, 11, 12, 13, 14, 16, 20, 25, 26, 28, 30, 31, 35, 36, 38, 39, 40, 42, 43, 46, 47, 48, 49, 50, 53, 57, 58, 59, 60, 63, 64, 65, 68, 69, 74, 75, 76","0, 4, 6, 7, 11, 12, 17, 18, 24, 25, 27, 28, 29, 33, 35, 36, 37"
0.8907563025210083,0.844,0.8932584269662921,0.888268156424581,0.0024449825286865234,"3, 7, 10, 12, 15, 16, 21, 23, 24, 25, 29, 31, 32, 33, 36, 39, 41, 42, 43, 44, 48, 54, 55, 61, 62, 64, 65, 66, 68, 73, 75, 76","4, 9, 10, 11, 13, 16, 18, 19, 21, 24, 26, 27"
0.9014084507042253,0.86,0.9090909090909091,0.8938547486033519,0.001483917236328125,"5, 8, 10, 13, 14, 15, 16, 18, 19, 20, 21, 25, 28, 33, 34, 36, 39, 40, 45, 46, 48, 49, 55, 57, 59, 61, 68, 74, 76","1, 4, 7, 8, 9, 11, 12, 13, 15, 27, 28"
0.9182058047493403,0.876,0.90625,0.93048128342246,0.0049130916595458984,"0, 3, 4, 6, 12, 13, 15, 17, 20, 22, 25, 26, 29, 30, 31, 38, 41, 42, 43, 44, 46, 51, 52, 54, 56, 57, 58, 61, 62, 66, 68, 71, 72, 73, 76","0, 2, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 26, 27, 28, 29, 30, 31, 32, 33, 34"
0.898550724637681,0.86,0.9748427672955975,0.8333333333333334,0.0024738311767578125,"0, 2, 3, 8, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 30, 31, 34, 35, 37, 38, 42, 43, 46, 48, 52, 53, 57, 58, 59, 60, 62, 63, 65, 66, 68, 71, 74, 75, 76","0, 1, 4, 6, 7, 9, 11, 13, 16, 19, 22, 27, 29, 32, 34, 38"
0.9264305177111717,0.892,0.9444444444444444,0.9090909090909091,0.0022668838500976562,"1, 4, 6, 8, 9, 11, 12, 16, 17, 21, 22, 24, 25, 26, 30, 33, 34, 38, 39, 40, 41, 46, 48, 49, 51, 54, 56, 62, 63, 67, 68, 69, 72, 76","0, 2, 6, 7, 8, 10, 12, 16, 20, 24, 25, 26, 28, 30, 33"
0.9177718832891246,0.876,0.9558011049723757,0.8826530612244898,0.002444028854370117,"7, 13, 14, 15, 16, 19, 20, 22, 24, 25, 30, 31, 33, 35, 36, 38, 39, 40, 43, 44, 45, 48, 49, 51, 52, 56, 58, 60, 61, 62, 64, 65, 66, 67, 71, 73, 74, 75, 76","0, 3, 6, 7, 9, 10, 13, 16, 17, 18, 21, 22, 23, 24, 25, 27, 30, 31, 33, 34, 35, 38"
0.8950276243093922,0.848,0.8709677419354839,0.9204545454545454,0.002868175506591797,"3, 5, 7, 9, 11, 15, 16, 17, 19, 20, 21, 22, 27, 28, 30, 32, 34, 35, 37, 39, 41, 42, 43, 45, 50, 54, 56, 57, 59, 60, 62, 65, 66, 67, 68, 69, 73, 74, 76","0, 1, 2, 3, 4, 5, 8, 11, 13, 16, 17, 18, 21, 25, 26, 28, 30, 31, 32, 37"
0.9333333333333332,0.9,0.9562841530054644,0.9114583333333334,0.002034902572631836,"3, 4, 5, 7, 9, 11, 14, 15, 16, 17, 18, 24, 27, 28, 32, 34, 37, 42, 43, 45, 48, 49, 51, 52, 58, 62, 64, 65, 66, 71, 72, 75, 76","3, 5, 6, 11, 12, 13, 15, 16, 18, 20, 23, 24, 25, 27"
0.9146005509641872,0.876,0.9431818181818182,0.8877005347593583,0.0025632381439208984,"0, 2, 6, 10, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 27, 30, 31, 32, 39, 40, 41, 42, 45, 46, 50, 51, 53, 54, 58, 59, 61, 63, 64, 65, 68, 71, 72, 76","1, 3, 4, 5, 6, 9, 12, 13, 14, 17, 22, 23, 24, 26, 27, 29, 31, 32, 34"
0.9014084507042254,0.86,0.8695652173913043,0.935672514619883,0.0029981136322021484,"1, 2, 5, 8, 9, 13, 14, 15, 16, 19, 21, 24, 25, 31, 32, 35, 40, 43, 48, 49, 50, 51, 53, 57, 58, 60, 61, 64, 65, 66, 68, 71, 73, 75, 76","1, 3, 6, 7, 12, 14, 15, 16, 19, 21, 24, 25, 27, 28, 30, 32, 33"
0.9411764705882353,0.916,0.9767441860465116,0.9081081081081082,0.003153085708618164,"0, 2, 4, 8, 9, 10, 14, 18, 20, 23, 25, 27, 29, 32, 34, 36, 37, 38, 41, 44, 48, 49, 50, 53, 55, 56, 57, 61, 65, 67, 73, 75, 76","1, 4, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 26, 28, 30, 32"
0.9199999999999999,0.888,0.9470588235294117,0.8944444444444445,0.002523183822631836,"0, 1, 6, 7, 9, 12, 14, 19, 21, 26, 27, 28, 29, 30, 33, 38, 40, 43, 46, 47, 51, 53, 54, 57, 60, 63, 65, 66, 69, 70, 71, 72, 73, 74, 75, 76","0, 2, 7, 9, 11, 15, 16, 18, 19, 21, 26, 31, 33"
0.9051490514905149,0.86,0.9175824175824175,0.893048128342246,0.002830028533935547,"1, 3, 8, 12, 13, 14, 15, 21, 24, 25, 26, 27, 30, 31, 33, 38, 39, 41, 42, 44, 46, 47, 51, 54, 55, 56, 59, 61, 62, 65, 66, 67, 68, 70, 71, 72, 73, 74, 75, 76","1, 2, 4, 6, 7, 9, 10, 12, 16, 19, 21, 23, 24, 27, 28, 29, 30, 31, 39"
0.9080779944289694,0.868,0.9157303370786517,0.9005524861878453,0.003390789031982422,"4, 5, 6, 7, 8, 11, 16, 21, 22, 23, 27, 28, 30, 31, 32, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 53, 59, 62, 65, 68, 69, 72, 73, 74, 76","0, 2, 4, 6, 7, 11, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 28, 29, 31, 33"
0.9259259259259259,0.888,0.9510869565217391,0.9020618556701031,0.002009868621826172,"4, 6, 7, 8, 9, 12, 13, 14, 26, 27, 28, 29, 31, 33, 36, 41, 45, 47, 48, 50, 51, 54, 56, 57, 58, 59, 60, 62, 64, 65, 66, 68, 69, 70, 73","8, 10, 13, 14, 15, 16, 20, 21, 24, 26, 27, 28, 29, 31"
0.9095890410958904,0.868,0.8972972972972973,0.9222222222222223,0.0024471282958984375,"4, 5, 8, 9, 11, 12, 15, 17, 20, 21, 25, 26, 28, 29, 30, 31, 32, 34, 37, 38, 40, 41, 42, 46, 49, 52, 53, 61, 62, 64, 65, 66, 68, 70, 71, 72, 74, 76","0, 1, 2, 6, 10, 12, 13, 18, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 34, 36"
0.9402597402597402,0.908,0.9329896907216495,0.9476439790575916,0.002554178237915039,"0, 4, 6, 8, 9, 12, 13, 15, 17, 20, 21, 22, 24, 25, 26, 28, 29, 30, 31, 35, 43, 44, 45, 50, 53, 55, 56, 57, 63, 65, 66, 67, 68, 70, 73, 74, 76","0, 1, 2, 5, 6, 7, 11, 12, 13, 16, 22, 24, 26, 27, 29, 30, 31, 33, 35"
0.9086021505376345,0.864,0.898936170212766,0.9184782608695652,0.0029230117797851562,"0, 1, 2, 3, 4, 5, 7, 9, 11, 15, 22, 25, 26, 29, 30, 32, 33, 34, 35, 36, 40, 42, 45, 46, 47, 48, 53, 54, 56, 58, 62, 64, 65, 66, 67, 68, 70, 75, 76","0, 5, 6, 7, 8, 9, 11, 14, 15, 18, 20, 21, 22, 23, 24, 25, 27, 29, 31, 32, 34"
0.9124668435013262,0.868,0.8865979381443299,0.9398907103825137,0.004035234451293945,"5, 6, 7, 12, 14, 20, 26, 27, 28, 29, 30, 32, 34, 35, 36, 37, 39, 44, 45, 49, 50, 51, 53, 57, 58, 60, 61, 62, 63, 65, 68, 70, 73, 74, 75, 76","0, 1, 6, 7, 13, 14, 16, 17, 18, 20, 21, 23, 25, 26, 27, 28, 29, 31, 33"
0.9046321525885558,0.86,0.9325842696629213,0.8783068783068783,0.0023717880249023438,"3, 7, 8, 10, 12, 15, 17, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 36, 38, 43, 44, 46, 47, 52, 54, 60, 64, 65, 71, 73, 74, 76","0, 1, 5, 12, 14, 21, 23, 24, 25, 28, 29, 30"
0.9152542372881356,0.88,0.9473684210526315,0.8852459016393442,0.002866983413696289,"1, 2, 3, 7, 8, 9, 10, 13, 15, 16, 17, 18, 19, 26, 28, 29, 30, 31, 34, 35, 36, 38, 41, 42, 46, 47, 50, 55, 61, 66, 67, 69, 70, 74, 75, 76","3, 5, 6, 10, 12, 13, 14, 18, 19, 20, 22, 24, 25, 27, 29, 30, 32, 33"
