f1,accuracy,precision,recall,time,first_optimizer_result,second_optimizer_result
0.8972972972972973,0.848,0.9021739130434783,0.8924731182795699,0.010892391204833984,"1, 3, 9, 10, 12, 20, 22, 24, 26, 29, 30, 36, 38, 39, 40, 41, 42, 47, 49, 50, 51, 52, 54, 57, 58, 59, 61, 66, 68, 75","0, 1, 4, 10, 11, 12, 13, 15, 17, 21, 24, 27, 29"
0.9023746701846966,0.852,0.8814432989690721,0.9243243243243243,0.039093732833862305,"0, 2, 3, 7, 9, 12, 14, 16, 18, 19, 20, 21, 23, 24, 25, 28, 30, 32, 34, 38, 39, 42, 43, 44, 46, 48, 51, 52, 53, 55, 56, 58, 59, 60, 63, 64, 65, 67, 68, 69, 71, 72, 73, 74, 76","0, 2, 3, 6, 7, 10, 11, 13, 15, 17, 21, 25, 26, 28, 31, 33, 34, 36, 38, 40, 42, 43, 44"
0.9109947643979057,0.864,0.9109947643979057,0.9109947643979057,0.06126999855041504,"1, 3, 4, 5, 6, 9, 11, 12, 13, 17, 23, 25, 29, 31, 34, 39, 40, 42, 43, 46, 47, 49, 50, 52, 53, 54, 56, 57, 58, 59, 60, 62, 64, 66, 68, 69, 70, 73, 74, 75","0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 16, 17, 19, 21, 22, 23, 24, 26, 30, 37"
0.8854166666666666,0.824,0.8762886597938144,0.8947368421052632,0.011478185653686523,"1, 8, 10, 11, 13, 18, 19, 20, 21, 26, 27, 28, 29, 36, 37, 38, 39, 40, 43, 45, 47, 48, 50, 53, 55, 57, 58, 61, 62, 65, 69, 70, 71, 74, 75","5, 6, 8, 9, 10, 15, 17, 20, 24, 27, 29, 30, 34"
0.8900523560209425,0.832,0.8762886597938144,0.9042553191489362,0.03961944580078125,"3, 4, 5, 10, 12, 15, 16, 17, 20, 27, 28, 30, 31, 35, 37, 38, 39, 40, 41, 42, 45, 47, 50, 57, 58, 59, 61, 63, 64, 65, 67, 68, 70, 71, 72, 73, 74, 76","1, 4, 5, 7, 14, 17, 18, 19, 20, 22, 23, 24, 25, 27, 29, 30, 32"
0.9090909090909092,0.86,0.8706467661691543,0.9510869565217391,0.029731035232543945,"2, 4, 5, 7, 8, 11, 14, 15, 19, 20, 26, 27, 30, 33, 36, 37, 38, 41, 42, 43, 45, 47, 49, 52, 54, 55, 56, 57, 58, 65, 66, 67, 68, 69, 70, 71, 72, 75, 76","6, 7, 8, 10, 11, 12, 14, 17, 19, 20, 24, 26, 28, 29, 30, 31, 33, 34, 35, 36, 38"
0.8870967741935484,0.832,0.8549222797927462,0.9217877094972067,0.050954580307006836,"0, 1, 2, 4, 6, 8, 10, 11, 17, 20, 21, 22, 26, 29, 30, 31, 36, 37, 40, 42, 46, 47, 48, 49, 60, 61, 64, 67, 68, 70, 71, 72, 73, 75, 76","3, 4, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 25, 29, 31, 33"
0.9147286821705426,0.868,0.9123711340206185,0.917098445595855,0.041500091552734375,"4, 6, 7, 8, 11, 12, 15, 16, 17, 19, 20, 22, 23, 27, 28, 32, 33, 35, 38, 40, 42, 43, 45, 50, 53, 55, 56, 58, 61, 62, 65, 67, 68, 69, 70, 72, 75, 76","2, 6, 7, 9, 11, 14, 15, 16, 17, 18, 19, 21, 25, 27, 28, 29, 30, 32, 34"
0.9164420485175202,0.876,0.9090909090909091,0.9239130434782609,0.028476238250732422,"2, 5, 7, 9, 10, 14, 16, 20, 21, 22, 23, 24, 27, 28, 32, 34, 36, 38, 42, 43, 44, 46, 48, 49, 50, 51, 54, 57, 59, 61, 65, 66, 70, 73, 76","0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 22, 23, 24, 25, 27, 28, 30, 32, 34"
0.9118387909319899,0.86,0.8916256157635468,0.9329896907216495,0.03601551055908203,"0, 7, 8, 13, 14, 16, 18, 22, 23, 24, 25, 26, 27, 28, 29, 32, 35, 36, 38, 39, 40, 44, 45, 47, 49, 52, 53, 54, 56, 57, 60, 62, 63, 64, 67, 72, 73","0, 1, 4, 5, 6, 9, 14, 15, 19, 21, 22, 23, 25, 26, 31, 32, 33, 34, 35"
