f1,accuracy,precision,recall,time,first_optimizer_result,second_optimizer_result

0.9523809523809523,0.996,0.9090909090909091,1.0,0.0031440258026123047,"0, 3, 4, 5, 7, 9, 10, 11, 13, 17, 22, 24, 27, 36, 39, 42, 43, 47, 48, 49, 50, 51, 52, 63, 66, 67, 68, 71, 73, 74, 76",
0.9,0.992,1.0,0.8181818181818182,0.002206087112426758,"3, 4, 11, 14, 15, 20, 22, 23, 26, 29, 30, 31, 35, 37, 38, 39, 41, 43, 47, 50, 53, 55, 59, 66, 67, 68, 74, 76",
0.9090909090909091,0.996,1.0,0.8333333333333334,0.001847982406616211,"0, 3, 4, 7, 8, 14, 21, 24, 28, 29, 33, 35, 37, 38, 40, 41, 45, 47, 49, 50, 52, 55, 56, 61, 65, 69, 71, 73, 74, 75",
0.7999999999999999,0.988,0.8571428571428571,0.75,0.001992940902709961,"0, 8, 10, 13, 14, 16, 20, 22, 23, 26, 29, 32, 37, 38, 43, 45, 48, 52, 53, 54, 57, 60, 61, 63, 65, 66, 67, 71, 72, 73, 75",
0.9473684210526316,0.996,0.9,1.0,0.0021228790283203125,"0, 3, 4, 9, 11, 13, 16, 21, 24, 28, 33, 37, 38, 40, 41, 43, 45, 47, 48, 50, 52, 54, 56, 58, 64, 65, 67, 68, 70, 73, 76",
0.8571428571428571,0.992,0.75,1.0,0.0022192001342773438,"2, 5, 6, 7, 9, 11, 12, 14, 17, 19, 20, 21, 24, 26, 32, 33, 40, 44, 48, 49, 50, 51, 52, 53, 54, 58, 62, 63, 67, 70, 71, 72, 76",
0.9473684210526316,0.996,0.9,1.0,0.0023560523986816406,"0, 2, 5, 6, 7, 8, 11, 16, 17, 19, 20, 21, 24, 26, 31, 35, 36, 37, 41, 42, 43, 46, 47, 50, 52, 53, 54, 56, 59, 60, 65, 67, 68, 73",
1.0,1.0,1.0,1.0,0.002123117446899414,"0, 5, 7, 8, 9, 10, 12, 19, 21, 24, 26, 27, 34, 37, 38, 39, 40, 41, 44, 45, 46, 47, 49, 51, 53, 56, 62, 64, 65, 66, 67, 70, 72, 74, 75, 76",
0.923076923076923,0.996,0.8571428571428571,1.0,0.0016350746154785156,"3, 5, 8, 9, 11, 12, 13, 21, 22, 31, 32, 34, 36, 40, 42, 43, 44, 46, 51, 52, 54, 55, 58, 59, 62, 64, 68, 69, 72, 75",
